sentence1_kin,sentence2_kin,human_score
"Umugende wa Toei Asakusa watangiye gukora i Shimbashi mu mwaka wa 1968 , naho ikibuga cy'indege cya Yurikamome giherereye mu majyaruguru cyatangiye gukora mu mwaka wa 1995 .","Shimbashi Station ni gare ya JR East , Tokyo Metro , Toei Subway , na Yurikamome muri Tokyo .",0.53
Dolly Parton ni we wanditse iyo nkuru.,"Oya, ubu asa na Dolly Parton.",0.38
Hitamo uko wifuza ko urubuga rwawe rw'ishyirahamwe rwerekana uko ibintu byifashe.,Hitamo ipaji y'urupapuro rw'umwimerere rw'urupapuro rw'urupapuro rw'urupapuro rw'Umurongo w'Umurongo.,0.69
"Ibyo byatumye numva nabi ku birebana na Raahosh, kuko Khui we wari umunyabyaha yari afite ibyiyumvo bibi ku bagore!","Ibyo bituma tubona ibintu mu buryo bwiza, haba kuri Liz cyangwa kuri Raahosh.",0.41
"Mbese, wamukomeretsa ijosi n'amaboko yoroheje maze ukamusoma mu gutwi?","Mujye mukorerana, mumukumbire, mumusubize kandi mumubumbatire.",0.88
Ikibazo cy'ukuri ni iki: aho ni ho ubucuruzi bw'amafaranga buri?,Hillary agiye kujya i Baltimore kuba umukinnyi wabo.,0.59
"Helicobacter pylori ni bakteria ifite ubukana bwa Gram-negative , ishobora gutura mu bice bitandukanye by' inda n' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya y ' imyanya",Helicobacter pylori ni bakteria ifite imiterere y' igitereko cy' igitereko cy' inda cyangwa ikiriho .,0.72
Hari ikindi kintu gishimishije cyane cyavuzwe na Molly Harper.,Iyi ni indi nkuru y'urukundo rw'ibinyoma y'umuriro w'iteka ya Molly Harper.,0.88
Byaba byiza tubyiretse ubu.,Ni byiza ko twabikuramo kuva mu ntangiriro.,0.69
"Nifuzaga kumenya impamvu Shiarra yari arimo arahirikwa muri ibyo, kandi iyo mvo yoroheje yarangiriye akamaro!","Nubwo nifuzaga guhana Shiarra, nkunda abandi bantu, bityo nkaba mbiteguye.",0.41
Reka abandi bakomeze kurira no kurira.,Reka abandi bagire icyo bavuga.,0.84
Ubuzima bw'umuntu ni icyaha gikomeye cyane.,Kutumvira ni icyaha gikomeye umugore akora.,0.28
Nta muntu n'umwe muri icyo cyumba watunguwe n'iryo tangazo.,Nta muntu n'umwe muri icyo cyumba watangajwe n'amagambo ye.,0.78
Butch yabonaga ko kumena umwuka mu maso byamugoye.,Gukura umwuka mu gishushanyo cy'urukozasoni byatangiye kugorana.,0.72
"Ku itariki ya 2 Kanama , inkubi y'umuyaga yateye mu majyaruguru y' iburasirazuba bwa Floride .","Mu ntangiriro z' Ukwakira , inkubi y' umuyaga yateye imyuzure mu majyaruguru y' iburasirazuba bwa Floride .",0.62
@NatureGuy101 @MaryMorientes Inkunga ishyigikiye #HillaryClinton perezida #United States Isi ni icy'umugore ku isi,"Nubwo imibare y'abagize @BernieSanders yaduze cyane, ndacyarizera ko Hillary yatsindiye Dem.",0.56
Umugore arimo aruhuka umwembe.,Umugore arimo agabanya ipome.,0.66
Umujyi wa Clarksdale ni wo ufite icyicaro cyawo .,Umurwa mukuru ni Clarksdale .,0.91
Jya ukora filimi cyangwa umuzika.,Shyiraho umuriro.,0.19
"Mu bijyanye n ' imikorere , amakipe akomeye ni umuziki wa muzika yabyinaga mu buryo bwa kinyamwuga n ' umuziki wabyinaga mu buryo bwafashwe amajwi .",Amateka y'umuziki wo kubyina asa n'amateka y'umuziki .,0.59
"Frank Gardiner , wari umunya-Australia mu kinyejana cya 19 .",Frank Gardiner yari umunyabushinwa w' umunya-Australia uzwi cyane .,0.88
"Reba mu mashoferi maze wuzuze urupapuro rw'isiganwa, wiringiye ko uzatsinda!","Najuje urupapuro rw'ikiganiro cyo mu kinyamakuru, kandi nizeye ko nzatsinda!",0.75
"Rhodes akomeje gutanga ibitekerezo bishishikaje by'abantu, kandi Crystal Storm igaragaza ko hari ikintu gikomeye cyane nshaka gusoma!",Sinshobora gutegereza undi mwaka!!,0.25
"Iki gisasu ni kibi cyane, kandi kirashekeje.",Nkunda kureba icyo gisomwa.,0.31
"Nabonye mu kwezi k'Ukuboza, kandi icyo kiganiro cyari gitangaje!",Ndetse na filimi yari itangaje (abantu ntibari bayireba).,0.56
Ni igice cyo mu majyepfo y'uburengerazuba bw' Inyanja ya Pasifika y' Amajyepfo .,Niue ni igihugu kirimo ibirwa byo mu nyanja ya Pasifika y' Amajyepfo .,0.56
Abakinnyi b'umupira w'amaguru bambaye amakanzu y'umukara bahagaze ku murongo w'izamu.,Umukobwa urimo akina umupira mu kibuga cy'umupira w'amaguru mu gihe hari filime igaragara ku mpera z'inzira.,0.22
"Ibice byari byateye imbere byatsinze ibicikaga ku isoko ry'imari rya New York, byari hagati ya 8 na 5.","Ibiciro byagabanutse byatsinze umubare w'abatanze amafaranga y'ibanze ku isoko ry'imari rya New York, birengaho gato 3 kuri 1.",0.56
Abagore bari ku ifarashi basimbuka irembo.,Umukobwa muto urimo kurira mu isuku.,0.09
Umukobwa uri mu bwato afata ifoto y'amazi akoresheje telefoni ye.,"Muri iyi foto, umugore ari kuri telefoni aseka.",0.38
Kat aririmba nk'umunyamuhana,Intwari z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo,0.38
Abahanzi bane baririmba kandi bakina igikoresho cy'umuzika.,"Abahanzi bane bahagaze, bakina igikoresho cyabo maze bakaririmba mu majwi.",0.69
"Jill asa na Dante, ariko ubu ndamukunda cyane.","Ni igitabo giteye isoni, giteye isoni, kivuga ibya Jill Kismet, umushakashatsi w'ibinyabuzima byo mu rwego rwo hejuru.",0.37
Hari kamera nyinshi z'amashusho zishyizwe imbere y'urukuta rw'ibiti.,Umwana w'umuhungu ugendera ku ndogobe aganira n'undi muhungu uhagaze iruhande rw'urukuta rw'ibiti by'ibiti by'ibiti by'ibiti by'ibiti by'ibiti by'ibiti by'ibiti by'ibiti by'ibiti by'ibiti by'ibiti by'ibiti byera.,0.31
"Bityo rero, abagore babaha amafaranga.",Amafaranga ni yo yonyine ahangayikisha abantu.,0.72
ishuri ry'ubu ntirishobora gusubiza icyo kibazo.,Niba igisubizo kuri icyo kibazo ari yego:,0.28
"Mu mimerere myinshi , ibyo bishoramari bishobora kuba byoroshye ugereranyije n'ibyuma bikoresha ibitwaro bibyabuzima .",Ingufu z'amashanyarazi zishobora kuba zisa n' iz' amashanyarazi aturuka mu bubaka bw' amabuye y'agaciro cyangwa mu bwonko .,0.72
"Nkunda cyane uko Shusterman asobanura iby'ubuzima bw'iteka, n'ukuntu asobanura ibintu byose binyuze ku ntebe z'inzu ya Everlost.",Gusa afite impano itarashyizweho na kamere itangaje.,0.34
Ntibitangaje kuba Edward yarakomeje kubigenza atyo.,Ntibitangaje kuba Edward yarakiriye ibintu nk'ibyo.,0.94
Ni igitabo cyanditswe neza kandi cy'umwijima ku bihereranye n'umukumbi w'ibimasa!,"Nubwo ari ibimasa, intambara zabo zigaragaza intambara zacu mu buryo bwinshi kandi ibyiyumvo byabo ni iby'abantu.",0.44
"Igihe nongeraga kugerageza, nashoboye gukora akazi ko gutukana.","Igihe nasubiraga muri iyo gahunda, nashoboye gukora akazi ko gutukana!",0.97
Iyi nkuru itandukanye cyane n'igitabo cya mbere mu nkuru z'uruhererekane rwa Bitten kuko iyi nkuru idakorwa ku vampire gusa.,"Hari indi moko, urugero nk'abanzi b'ibyaha n'abamaramare, ibaho kandi ikagirana imishyikirano, cyane cyane kugira ngo irinde gusohoka.",0.53
"Ushobora gushakisha ku rubuga rwa ""Youtube""","Jya ku rubuga rwa ""wikipedia.com"" maze ugishakemo uhereye aho.",0.53
umusore ufite imisatsi mito y'umukara akina piyano,Umwana w'umusatsi w'umukara wambaye ikoti y'umuhondo ari gukina piano ihumeka.,0.81
Mutumize iwanyu murebe filimi irimo amashusho y'urukozasoni.,umutumire aze kureba porunogarafiya,0.9
Indege y'ubururu n'ubururu iri mu kirere.,indege y'ubururu n'ubururu mu gihe cyo kuhaguruka.,0.75
"Mu bihugu bivuga icyesipanyoli , buri bwoko n'icyo butunganya bifite amazina menshi atandukanye .","Mu bihugu byinshi byo muri Amerika y' Ilatini bivuga icyesipanyoli , Minisitiri w'Ububanyi n'Amahanga yitwa "" Canciller "" .",0.47
"Reba mu gace k' umudugudu w' amateka ka Shawneetown , muri leta ya Illinois .",Shawneetown ni umujyi wo muri leta ya Illinois muri Leta Zunze Ubumwe za Amerika .,0.66
"Nyamara, iyi ni inkuru ishimishije rwose, igihe cyose witeguye kwemera uburebure bwayo butangaje.",Iyi ni yo nkuru y'ibitabo by'imigani nkunda cyane.,0.5
@kugrl6 urashaka ko abana b'abirabura babarirwa muri za miriyoni batakaza ubuzima bwiza?,@LogicOfLife7 sinumva ko mfite uburenganzira bwo gukoresha umubiri w'undi muntu nta bwemere.,0.25
Igisirikare cyarasenye izuba.,Ku bw'amabwiriza y'Umugaba w'ingabo!,0.22
@HillaryClinton akunda iyi foto nshya y'amabara menshi! #loveit,@HillaryClinton Yego! Ndabishyura 5$ kuko turabyizeye.,0.5
Nk'uko nkeneye kunyura ku bana bataye inda kugira ngo njye muri iyo shyirahamwe.,RT @rxchelredekop: Kwemera gukora imibonano mpuzabitsina si ukwemera gutwita!!!,0.22
Shah ni ijambo ry' igiperesi ryerekeza ku mwami ryashyizwe mu ndimi nyinshi .,Shah ni ijambo ry' igiperesi risobanura umwami cyangwa umutware w' igihugu .,0.7
Ndi Fonald Frump kandi abantu bose batekereza ko uri umusazi.,@sbrenn01 @marklevinshow Ni irihe tandukaniro? Abakomeza kuba ab'amoko.,0.41
Umugabo arimo arambatira umuntu.,Hari umuntu ufata ifoto.,0.28
"Merri Lee yavuze ko ibyo bishatse kuvuga ko abakobwa babikunda, ko nta nyoni nto zibirimo.",Ibyo si byiza kandi byankoze ku mutima cyane.,0.25
"Iyo ugereranyije n'iyo Falconer, numvaga ko iyi ifite imbaraga nke.","Ndakwinginze, komeza kwandika igitabo cya nyuma nibura incuro ebyiri z'icyo gitabo.",0.28
Umwamikazi azita umujyana ukomeye kurusha abandi bose,Queen yita ubwato bunini butwara indege,0.81
Hari umugabo ugeze mu za bukuru wavuye mu iduka afite inzoga zihumuriza.,Abantu bari hanze banywa inzoga kandi baganira mu gihe bari bicaye ku ibaraza ry'inzu y'ubucuruzi.,0.19
Ni kimwe mu bitabo byiza cyane byo mu isi ya Discworld.,Ni kimwe mu bitabo nkunda cyane mu isi ya Discworld.,0.75
"Yagendaga buhoro buhoro, buri kintu cyose yakoraga cyamubabazaga bitewe n'uko yari yarakubiswe.","buhoro buhoro, kuko buri kintu cyose cyamuzaniraga imibabaro, yafataga intambwe yo kujya mbere.",0.69
@realDonaldTrump Nkunda Abanyameksika baza muri Amerika mu buryo bwemewe n'amategeko. #IStandWithTrump,@realDonaldTrump Abafite ibitekerezo by'ibanze n'ibisobanuro kuri tweets bakomeje kwiyongera kuri Trump!,0.56
Ibyo byatumye nkunda Despina cyane kurusha uko nari mbikunda.,"Nkunda Jalal na Despina, ariko nta n'umwe muri bo ufite imico myiza bihagije kugira ngo agire icyo ageraho.",0.41
Umurimo wanjye hano urarangiye.,Ibyo bisa n'ibyo nakoraga kera,0.22
Ni ibimenyetso by'uko umuntu atarakundana.,Ese uwo mugabo aragukunda?,0.47
Kuki bavuga ko abaryamana bahuje igitsina b'aba liberal nka Barbara Streisand?,Kuki abaryamana b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo bakunda cyane barirabana b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo b'abagabo?,0.83
"Mu mpera y'iyo nkuru, nta n'umwe mu bahungu bari barigeze bamusoma, kuko umuryango wabo wari ukomereye nk'uwabo.","Amaherezo, umuhungu wari utuye mu rugo rwari rufite amategeko akomeye nk'ay'umugore we, ntiyabashije no gusomana.",0.56
"Hillary yashyingiranywe na Louise Mary Rose ku itariki ya 3 Nzeri 1953 , nyuma gato y' uko yazamutse Umusozi wa Everest .","Hillary yashyingiranywe na Louise Mary Rose mu mwaka wa 1953 , maze babyarana umuhungu n'abakobwa babiri .",0.81
"Icyo nifuzaga ko kiba gitandukanye n'icya mbere, ni uko nifuzaga kubona Juliette na Warner barushaho kumbera beza.","Ibyo nabonaga mu gitabo ""Mpa umuriro"" hagati ya Juliette na Warner, ni byo nari niteze.",0.62
Portia na Vance bombi ni abantu bakomeye.,Portia na Vance bari mu mishyikirano ikomeye.,0.62
"Ibirunga, ingofero n'amabuye ya iodini byari byitwikiriye nk'inyenyeri.","Aho bari hose, inyenyeri zari zifite imyenda y'ibishushanyo, ibikinisho by'amasinema, ibishushanyo n'ibindi bintu by'agaciro.",0.72
Hari umugore urimo guteka umwambi.,Umuntu arimo asukura disiki.,0.25
"Kuva ubu, ni jye uzakurikirana.","Kuva ubu, ni jye uzakurikirana.",0.75
"Hariho umuntu w'intangarugero watangaga amatike y'amafaranga menshi, akenshi akaba yarasigaga amafaranga ari hagati ya 5 na 10.","Amafaranga y'ibiti agera kuri 5 cyangwa 10, ariko niba ushaka gukora ibyo ushoboye byose, jya ugura mbere y'igihe.",0.19
Nahisemo gushakisha mu karere kacu no ku rubuga ariko naje kubona zip,Nakoze ubushakashatsi ku rubuga ariko nta cyo nabonye.,0.78
"Hari byinshi byo gukorwa kugira ngo iki gihugu kibe gikomeye, gifite imbaraga kandi kibe gikomeye. #TrumpCarson2016",@realDonaldTrump Hari abantu bifuza kuba perezida gusa abandi bifuza kongera gutuma Amerika iba nziza!,0.56
Umukozi w'ubwubatsi wambaye ikanzu y'umweru agenda.,Abakozi benshi bakora mu mirimo y'ubwubatsi bareba ahantu hatera abantu gutembera,0.5
"Mbere y'uko mugira icyo muvuga ku gitabo, nahawe kopi yo gusuzuma mu rwego rwo gusuzuma mu buryo bwuzuye.","Umwanditsi ni we wanyohereje iki gitabo kugira ngo kimpe igisubizo cyuje ukuri, mbese urakoze cyane, Stormy!",0.81
Amerika ishaka guhumuriza ibihugu by'ibihugu by'Ibigo by'Inyanja ya Golfe ku masezerano ya Iran,Hagel ashaka guhumuriza ibihugu by'ibihugu by'Inyanja ya Golfi bitinya amasezerano ya Iran,0.75
"Niba wifuza ibindi bisobanuro, reba Amabwiriza agenga abasaba ubufasha.",ibindi bisobanuro birambuye birimo inama ku mushakisha.,0.88
"Igihe isaha igenda iraka, ibyo bikaba bigaragaza ko isi irangiye, Ophelia ahanganye n'ubwoba afite maze akomeza urugendo kugira ngo asohoze umurimo we.","Ndibaza niba abantu bari aho bari gusobanukirwa ibintu vuba nk'uko nanjye nabigenje, cyangwa se bagahita bagenda buhoro nk'uko Ophelia yabigenje...",0.56
"@realDonaldTrump ntacyo bitwaye, mu kwezi k'Ugushyingo 2016 uzagira amajwi yanjye.",@realDonaldTrump Dushaka Trump! Dushaka Trump! Dushaka Trump!!! #MakeAmericaGreatAgain,0.72
Umugabo ufite itabi aganira n'umugore ufite itabi.,Abantu bakuru babiri barimo bavugana nyuma y'amasomo.,0.28
@HillaryClinton azagaragara nk'umukandida wa Demokarasi.,#KCA #VoteJKT48ID RfWheels3015: davidjones720 rratkinson nibyo rwose ndashaka kuvuga iki ku isi #ArabDonorGroup ?? #HillaryEmails #D...,0.22
Ntekereza ko ugomba gutegereza kugeza igihe uzaba ugeze mu za bukuru bihagije kugira ngo ushobore guhangana n'iki kibazo.,"Niba udashobora kubyihanganira, ujye utegereza kugeza igihe uzaba ugeze mu za bukuru.",0.91
Abagore babiri bari mu myambarire y'umwana.,Abagore babiri baseka bafata umwana.,0.94
Umukobwa muto ashyira confetti ku musatsi w'umugore useka.,Umugabo arimo ashyira tattoo ku mugongo w'undi muntu.,0.19
"Abantu bashobora gukora imibonano mpuzabitsina mu kanwa mbere yo gukora imibonano mpuzabitsina , cyangwa mu gihe cyo gukora imibonano mpuzabitsina cyangwa nyuma yayo .","Hari igihe abantu bakora imibonano mpuzabitsina mu kanwa kugira ngo bitegure imibonano mpuzabitsina , ariko bishobora no kuba ari ikindi kintu cy'ingenzi .",0.88
Abantu bari mu mikino yo kwiruka bagerageza guhosha ikimasa.,"Umuntu ugendera ku igare ry'abantu benshi, aba ari mu kaga nk'uko inka iba iriko irasa.",0.56
Nta buryo bwo gushishikariza abantu kugura iki gitabo keretse babonye filime.,"Ibyo byatumaga nkomeza guhinda umushyitsi, ariko nkongera gusubira mu buriri bwanjye, nkajya nsoma icyo gitabo!",0.34
Ndi Inyanja n'Inzundura,hari inyenzi mu cyumba cyanjye,0.28
"Muri iyi, Dragon Spear, nkunda ukuntu Creel yifuza cyane kwambara ikanzu nziza cyane.",Dragon Spear ni yo ya nyuma muri iyi myitozo.,0.38
@realDonaldTrump komerezaho Bwana Trump-iyo Demokarasi na Repub yateye-muzi ko ibyo mukora ari byiza! #MakeAmericaGreatAgain,"@realDonaldTrump avuga ibyo benshi batekereza, ugomba kumushimira #Trump4POTUS",0.56
Ndumva buri kintu cyose kiba gifite igihe cyacyo cya mbere.,Ntekereza ko ari ubwa mbere.,0.62
Umugabo arimo aruhuka pizzè ebyiri.,Umugore arimo aruhira umugabo.,0.34
Umugabo ufite ibishashi by'amabuye y'agaciro arimo ahingura umugozi.,Ibitwa by'umuntu biguma mu mazuru.,0.06
"Aganira na Claire, akamwereka uko akora, akagenda agendera nk'imbwa.","Narakunze iyo mbwa, mbikesha Madamu Marlo.",0.23
Jen na Jacques bafite ibikomere bikabije kandi ntibazongera gukanguka.,Nkunda ibyo Jacque na Fane bari bafite hano.,0.22
RT @alvedaking: Ikintu kidutangaza cyane kuri iyi si ni ugutemba kw'imihanda yacu amaraso y'abana bo mu isi yishimye...,"Gushyiraho amategeko yo kwandika ubutumwa kuri Twitter aho kubushyiraho, birimo guhaririza umwana utararera inda. #worstargumentever #lolanti",0.34
Hermeskeil ni wo murwa mukuru w' Umuryango wa Verbandsgemeinde Hermeskeil .,Hermeskeil ni umugi wo mu karere ka Rhineland-Palatinate mu Budage .,0.59
"Abagore b'Abahinde bambaye amasari y'amabara menshi, bavuga kandi bakareba ibintu mu gihe umwana yicaye iruhande rwabo.",Umugabo ufite itabi mu kanwa yaguye hejuru avugana n'umugore w'umusaza wambaye ikanzu y'umuco w'indashyikirwa.,0.12
Uburyo bwiza bwo kubikora ni ugusanga mu maso.,Nta gushidikanya ko bigomba kuba ari ibintu bihuza abantu.,0.78
Abantu benshi bapfuye mu mpanuka y'umuhanda wo mu Buyapani,Benshi bishwe mu gitero cyagabwe n'indege muri Siriya,0.53
"#Hillary, dore Umukristo umwe ufite imyizerere y'idini itazigera ""yihuza"" no gukuramo inda.",Niba #BlackLivesMatter kuki abana b'abirabura mu nda badafite ubuzima bwabo?,0.34
"Niba ukunda ibitabo by'abantu bakuru b'abakiri bato, iyi ni yo ngingo nziza cyane.","Ndagira inama y'uko wakoresha iki gitabo, cyane cyane iyo wakundaga filimi nka ""The Craft"".",0.66
"Hari ibintu byinshi ""byiza"" by'ibitabo by'ibitabo bine bishize.","Nyuma y'ibitabo 4 bya Briec & Talaith bivuga iby'imivurungano, biragenda birushaho kugora.",0.47
"Urupfu ni ukurangiza ubuzima mu kintu kizima , cyangwa uko icyo kintu gihagaze nyuma y' icyo kintu .","Mu buryo bworoshye , ijambo "" nicée "" ryumvikanisha uburyo umuntu abona ubuzima .",0.59
"Nanone kandi , bagiye batsinda ibikombe bibiri bya Kigiriki , kandi bakina ibindi bibiri bya nyuma .","Yatsinze ibikombe bitatu byose hamwe , igikombe kimwe cy' u Bugiriki n' ibikombe bibiri by ' u Bugiriki .",0.44
"Nanone numvaga ko abantu baremwe neza, kandi umubano uri hagati ya Yara na Brent uratanga icyizere kandi uratanga icyizere... uratangaje kandi uratangaje.",Yara ni umuntu mwiza cyane ushobora guhura na we.,0.6
Umunyeshuri w'umunyamuyoboro arimo akora imyitozo yo mu mugongo mu isuku.,umuntu ukora igikomere cyo mu mugongo mu isuku,0.91
"Ahubwo, iyi ni isi aho impyisi zatumye abantu bagira imibereho myiza, kandi zateye intambwe mu by'inganda no mu by'amashuri.","Imbeba zigomba kurwanya umwijima, maze intwari z'aba kera zigatera intambwe zo kongera kurwanya ikibi.",0.33
umuntu ukora siporo y'amabuye y'amaguru asimbuka urwego.,Umukobwa muto urimo kurira mu isuku.,0.22
"Kugeza ubu, amashusho 96 y'amafaranga y'ishimwe ya Hillary yabonetse muri Greenville, SC! #FellowsSC","@politico @anniekarni ""@HillaryClinton ntashobora no kuyobora @billclinton & yifuza kuba @POTUS"" #WakeUpAmerica #StopHillary2016",0.25
Abagore bashobora no gukenera inkunga ikomeye y'inzego zitandukanye kugira ngo babone uburyo bwo kubona ikoranabuhanga rishya.,mu rwego rwo gufasha abagore kubona ikoranabuhanga rishya rimwe na rimwe bisaba inkunga ikomeye ku nzego zitandukanye za leta n'ubuyobozi.,0.78
"ahantu runaka mu ruhande rw'inzu, araryama.",Ishyamba rya Fangorn riri ku rugi rwacu.,0.27
"Ese imiryango y'abami yo hanze y'icyo kigo, izi neza uko ibintu byifashe?","Iyo umuntu wo mu muryango w'umwami avumbuwe ko afite ubupfumu, uwo muntu yoherezwa muri Lackland Abbey kugira ngo akire.",0.5
Dore urutonde rw'ibyo nkunda cyane.,Ni kimwe mu bintu nkunda cyane muri iki gihe.,0.53
"Umugore uhagaze imbere y'indorerwamo, incuti ye ikomeje kumushinga umufuka.",Hari umukobwa uhagaze mu cyuma cy'amabara y'umweru.,0.25
"#HillaryClinton rero...ni nde ""Santa""? #LibHack #Pay2Play #Corruptocrat #tcot #Benghazi #VinceFoster #Monica","@akawhit1 Igihe kirageze cyo kuva mu gatsiko k'abicanyi @FoxNews MUHUNGUYE mu mupira wawe Ni umunyacyaha wa Sodomu, Obama, umusazi #WakeUpAmerica",0.41
Azi icyamubera cyiza cyane mu buzima bwe no mu mubiri we,Jya usaba ko Sena yemera ko hakorwa itegeko ribuza gukuramo inda mu gihe cy'imyaka myinshi.,0.28
Ariko si jye ubikora,"Oya, ni abo bafite amaso atatu gusa.",0.16
Athabasca yari gukanguka ava mu buriri bwe.,Birashoboka ko ari bo bakuriye Athabase mu buriri.,0.81
Enid Blyton yari umwanditsi w' inkuru ngufi .,Ibitabo: Enid Blyton: igitabo cy' ibyabaye mu mibereho .,0.53
Xemerius: Umuntu umwe rukumbi mu gitabo cyose watumye igitabo gisurwa cyane... ni we wari ufite umutima w'ubwenge utangaje.,"Hari igihe inkuru y'abakiri bato n'iy'abakurambere baba bafite ibitekerezo byinshi, ibindi byose biba bikomeye ku buryo bitagira icyo bitwaye.",0.47
Inyoni zibonera ubundi buryo bwo gutunga mugenzi wazo .,Ibyo bituma inyoni nyinshi zidakora neza .,0.47
Www.imdb.com ni ahantu heza cyane ho kwemeza ayo makuru.,"Niba ushaka ibindi bisobanuro kuri Robyn Rihanna Fenty, jya kuri www.imdb.com.",0.66
@tooprettyclub Ese wumva utishimiye ko abagabo bo muri #GOP bakubwira ibyo ushobora gukora n'ibyo udashobora gukora ku mubiri wawe?,"@LifeMattersJrnl Ubundi se, ni uruhe ruhare ufite mu gukoresha uburenganzira bwawe bwo gutanga uruhushya?",0.41
"Mfite ibitekerezo bimwe, ariko se bimwe muri byo ni ibihe?","Idk... mfite igitekerezo rusange, nifuza gusa kumenya ibyo muzi",0.75
Iyo pistole... ...irategetswe abantu bo mu ngabo.,Imbunda... ikoreshwa n'abasirikare gusa.,0.78
Naramukunze cyane kandi nifuza cyane kumenya byinshi kuri we mu gitabo gikurikira.,Icyo gitabo nabonye ko kubisenya bigoye.,0.47
"Igitabo cya kabiri mu nkuru za Sookie Stackhouse, ""Igitabo cyitwa ""Living Dead in Dallas"" ni igitabo cyiza cyane!","Narangije kwandika igitabo cya kabiri cya Sookie Stackhouse, Living Dead in Dallas cyanditswe na Charlaine Harris uyu munsi nyuma ya saa sita.",0.84
biragoye kumenya bitewe n'ibyangiritse byatewe n'icyo gitero.,Iryo terambere ntiryari ryaragize ingaruka mbi cyane.),0.5
Ibara ryayo rigaragaza ko ayo mazi ari umunyu .,"Ibyo byose ni kimwe , keretse ibara ry'imbuto .",0.28
Birantinya ko hakiri amabaruwa ibihumbi n'ibihumbi atarakurwa mu mabaruwa ya Hillary.,Indi nshuti ya Hillary yiyemeje kujya mu nama y'amatora muri iki gihe!,0.31
Hari umucuruzi wagendaga mu muhanda w'umugi.,Umuntu w'umwuga akora cyane.,0.47
"Inkuru za Argeneau na Rogue Hunter, kuva ku z'inkoramutima zanjye kugeza ku z'inkoramutima zanjye nke: 1.","Sinigeze ndambirwa gusoma inkuru za Argeneau, kuko buri gitabo cyanditswe neza, kirimo ibintu bishya kandi by'ubuhanga.",0.5
Umugore: Ese wakoresha imwe imeze nk'iyacu?,Ni umugabo n'umugore.,0.22
Umukobwa ukiri muto uri mu kibuga cy'imikino arimo afata umugozi ku modoka y'amabara y'umuco.,Hari umuntu uri mu murima munini arimo afata umugozi umenetse ku mupfunda w'umwuka wera.,0.53
"Mu mwaka wa 2000 , mu karere ka Adams hari abaturage 18.643 .",Adams yatsindiye ibihembo 18 mu byo yagezeho .,0.22
